id,scope,transitions,t1_cycle_type,t0_rank,t0_indegrees,t0_kernel,t0_kernel_sizes,collision_pair,collision_orbit,collision_orbit_size,conjugacy_canonical,automorphism_count,semigroup_size,semigroup_rank_profile,maps,endpoints,block_ranks,block_idempotent,b_equals_p_f,separating_starts,champion_separator,global_id
33,permutation_pool,"[[1,0],[2,1],[3,2],[4,3],[0,4]]","[1,1,1,1,1]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,0],[2,1],[3,2],[4,3],[0,4]]",5,5,"{""5"":5}","{""A"":[2,3,4,0,1],""C"":[2,3,4,0,1],""B"":[1,2,3,4,0],""U"":[3,4,0,1,2],""V"":[3,4,0,1,2]}","{""A"":2,""C"":2,""B"":1,""U"":3,""V"":3}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,33606
34,permutation_pool,"[[1,0],[2,1],[3,3],[4,4],[0,2]]","[1,1,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,0],[2,1],[3,3],[4,4],[0,2]]",1,60,"{""5"":60}","{""A"":[2,4,3,1,0],""C"":[3,2,0,4,1],""B"":[1,3,2,0,4],""U"":[2,4,0,3,1],""V"":[2,4,0,3,1]}","{""A"":2,""C"":3,""B"":1,""U"":2,""V"":2}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,33854
35,permutation_pool,"[[1,0],[2,1],[3,4],[0,3],[4,2]]","[1,1,1,2]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,0],[3,2],[4,3],[1,4]]",1,120,"{""5"":120}","{""A"":[2,4,3,1,0],""C"":[4,2,0,1,3],""B"":[1,4,2,0,3],""U"":[2,3,0,4,1],""V"":[2,3,0,4,1]}","{""A"":2,""C"":4,""B"":1,""U"":2,""V"":2}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,33974
36,permutation_pool,"[[1,0],[2,2],[3,3],[0,4],[4,1]]","[1,4]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,2],[3,3],[4,0],[1,4]]",1,120,"{""5"":120}","{""A"":[3,4,1,2,0],""C"":[4,0,1,2,3],""B"":[2,4,0,1,3],""U"":[1,3,4,0,2],""V"":[1,3,4,0,2]}","{""A"":3,""C"":4,""B"":2,""U"":1,""V"":1}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,35873
37,permutation_pool,"[[1,0],[2,2],[3,3],[4,1],[0,4]]","[1,1,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,0],[2,1],[3,3],[4,4],[0,2]]",1,60,"{""5"":60}","{""A"":[3,2,0,4,1],""C"":[1,4,3,0,2],""B"":[2,1,4,3,0],""U"":[3,4,2,0,1],""V"":[3,4,2,0,1]}","{""A"":3,""C"":1,""B"":2,""U"":3,""V"":3}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,35981
38,permutation_pool,"[[1,0],[2,2],[3,4],[0,1],[4,3]]","[1,4]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,3],[3,2],[4,4],[1,0]]",1,20,"{""5"":20}","{""A"":[3,2,0,4,1],""C"":[1,3,4,2,0],""B"":[2,1,3,4,0],""U"":[4,3,2,0,1],""V"":[4,3,2,0,1]}","{""A"":3,""C"":1,""B"":2,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,36125
39,permutation_pool,"[[1,0],[2,2],[3,4],[4,3],[0,1]]","[1,1,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,0],[2,2],[3,4],[4,3],[0,1]]",1,60,"{""5"":60}","{""A"":[3,4,1,2,0],""C"":[3,0,1,4,2],""B"":[2,3,0,1,4],""U"":[1,4,3,0,2],""V"":[1,4,3,0,2]}","{""A"":3,""C"":3,""B"":2,""U"":1,""V"":1}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,36653
40,permutation_pool,"[[1,0],[2,3],[0,2],[3,4],[4,1]]","[1,1,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[3,0],[4,3],[2,4]]",1,60,"{""5"":60}","{""A"":[3,4,1,2,0],""C"":[4,0,3,1,2],""B"":[3,4,0,1,2],""U"":[1,2,4,0,3],""V"":[1,2,4,0,3]}","{""A"":3,""C"":4,""B"":3,""U"":1,""V"":1}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,37248
41,permutation_pool,"[[1,0],[2,3],[0,2],[4,1],[3,4]]","[1,1,1,2]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[1,0],[0,2],[3,1],[4,3],[2,4]]",1,120,"{""5"":120}","{""A"":[4,3,1,0,2],""C"":[4,0,3,1,2],""B"":[3,4,0,2,1],""U"":[1,2,4,3,0],""V"":[1,2,4,3,0]}","{""A"":4,""C"":4,""B"":3,""U"":1,""V"":1}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,37296
42,permutation_pool,"[[1,0],[2,3],[0,4],[3,1],[4,2]]","[1,2,2]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,0],[3,2],[1,4],[4,3]]",1,60,"{""5"":60}","{""A"":[3,2,0,4,1],""C"":[1,2,3,4,0],""B"":[3,1,2,4,0],""U"":[4,2,3,0,1],""V"":[4,2,3,0,1]}","{""A"":3,""C"":1,""B"":3,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,38024
